gene,centrality_inv,kegg_inv,tau_pct,skin_top_inv,skin_z_pct,loeuf_pct,canonical,composite,cluster
MAPK1,0.21317829457364346,0.003875968992248069,0.1171875,0.5354330708661417,0.47244094488188976,0.07751937984496124,False,0.236605859859814,4
STAT1,0.7364341085271318,0.32558139534883723,0.5703125,0.29527559055118113,0.33858267716535434,0.08527131782945736,False,0.3919095982369936,3
MAPK8,0.24806201550387597,0.06976744186046513,0.359375,0.2362204724409449,0.29133858267716534,0.09302325581395349,False,0.21629779471606747,4
JAK1,0.5193798449612403,0.3410852713178295,0.125,0.6299212598425197,0.6850393700787402,0.1124031007751938,False,0.4021381411625873,2
MAP3K1,0.34883720930232553,0.6434108527131783,0.5625,0.9566929133858267,0.937007874015748,0.1124031007751938,True,0.5934753250320455,2
MAP2K4,0.6976744186046512,0.45736434108527135,0.2578125,0.6614173228346456,0.6141732283464567,0.12403100775193798,False,0.4687454697704938,2
CREB1,0.03100775193798455,0.21705426356589153,0.25,0.4251968503937008,0.5433070866141733,0.13178294573643412,False,0.266391483041364,4
MAP2K7,0.6356589147286822,0.3798449612403101,0.0703125,0.7007874015748031,0.7401574803149606,0.13953488372093023,False,0.44438269026328103,2
PRKG1,0.49612403100775193,0.6007751937984496,0.75,0.19291338582677164,0.12598425196850394,0.14728682170542637,False,0.3855139473844838,3
SRC,0.5581395348837209,0.18992248062015504,0.3046875,0.25196850393700787,0.31496062992125984,0.16279069767441862,True,0.2970782245060937,4
WNT5A,0.937984496124031,0.5155038759689923,0.84375,0.4645669291338582,0.4094488188976378,0.1937984496124031,False,0.5608420949561538,3
ATF2,0.937984496124031,0.36046511627906974,0.203125,0.07874015748031493,0.05511811023622047,0.20155038759689922,False,0.30616387795275585,3
PDPK1,0.24031007751937983,0.36046511627906974,0.2421875,0.6062992125984252,0.5590551181102362,0.21705426356589147,False,0.37089521467883374,4
HIF1A,0.5658914728682171,0.5581395348837209,0.4453125,0.29527559055118113,0.4330708661417323,0.2713178294573643,False,0.42816796565036935,3
AKT1,0.046511627906976716,0.023255813953488413,0.0390625,0.20472440944881887,0.2755905511811024,0.27906976744186046,False,0.1447024449887078,4
PRKACA,0.17829457364341084,0.0852713178294574,0.078125,0.16141732283464572,0.16535433070866143,0.2868217054263566,False,0.159214041740422,4
MAP2K2,0.40697674418604646,0.054263565891472854,0.0625,0.5354330708661417,0.5669291338582677,0.29457364341085274,True,0.3201126930354636,4
GSK3B,0.7286821705426356,0.16666666666666663,0.2265625,0.7598425196850394,0.8031496062992126,0.3023255813953488,False,0.49787150743148384,2
MAP3K5,0.48062015503875966,0.45736434108527135,0.5,0.11023622047244097,0.1889763779527559,0.31007751937984496,False,0.34121243565484544,3
ELK1,0.6124031007751938,0.5503875968992248,0.3125,0.25196850393700787,0.25984251968503935,0.32170542635658916,False,0.38480119127550916,3
EGFR,0.1937984496124031,0.13953488372093026,0.5234375,0.9566929133858267,0.905511811023622,0.34108527131782945,True,0.5100101381767687,4
RAF1,0.22480620155038755,0.046511627906976716,0.0234375,0.5354330708661417,0.6377952755905512,0.3488372093023256,True,0.30280348086939707,4
MAP2K6,0.4534883720930233,0.39922480620155043,0.78125,0.22047244094488194,0.1968503937007874,0.35658914728682173,False,0.40131252670451084,3
MAP2K1,0.40697674418604646,0.03100775193798455,0.1796875,0.06692913385826771,0.07874015748031496,0.3643410852713178,True,0.1879470621223219,4
PRKCH,0.3178294573643411,0.8798449612403101,0.5390625,0.7598425196850394,0.8267716535433071,0.37209302325581395,False,0.6159073525148019,2
PRKCZ,0.13178294573643412,0.5387596899224807,0.7265625,0.49606299212598426,0.4251968503937008,0.3875968992248062,False,0.45099364623390104,2
RAC1,0.11627906976744184,0.11240310077519378,0.015625,0.7598425196850394,0.7322834645669292,0.4496124031007752,True,0.36434092631589654,4
MAPK14,0.2945736434108527,0.10077519379844957,0.28125,0.7007874015748031,0.7086614173228346,0.46511627906976744,False,0.4251939891961179,4
CDC42,0.2558139534883721,0.2713178294573644,0.0859375,0.7007874015748031,0.6929133858267716,0.49612403100775193,True,0.41714901689251055,4
RPS6KA1,0.5348837209302326,0.624031007751938,0.6484375,0.6299212598425197,0.6299212598425197,0.5193798449612403,False,0.5977624322214083,2
RAP1A,0.2713178294573644,0.5155038759689923,0.3203125,0.11023622047244097,0.10236220472440945,0.5348837209302325,False,0.30910272525890664,3
PAK1,0.6434108527131783,0.45736434108527135,0.3828125,0.13779527559055116,0.18110236220472442,0.5426356589147286,True,0.39085349841807565,3
USF1,0.5891472868217054,0.9689922480620154,0.15625,0.2755905511811023,0.33070866141732286,0.5581395348837209,False,0.4798047137276445,3
MAPK3,0.21317829457364346,0.003875968992248069,0.03125,0.22047244094488194,0.3779527559055118,0.5736434108527132,True,0.2367288118781664,4
FZD3,0.7829457364341086,0.49612403100775193,0.625,0.16141732283464572,0.15748031496062992,0.5891472868217055,False,0.468685782009807,3
FOS,0.1705426356589147,0.18992248062015504,0.3359375,0.9015748031496063,0.9133858267716536,0.6124031007751938,False,0.5206277244959207,4
MAP2K3,0.4534883720930233,0.43410852713178294,0.3984375,0.8267716535433071,0.7952755905511811,0.627906976744186,False,0.5893314366772467,2
